Review,Original summary,s
my kids love these they have a great flavor and for us are preferred over sharkies my daughter sometimes gets stomach aches from fruit snacks but has had no trouble with these ,great , great taste
these are a good alternative to candy but still a lot of sugar in a better form br sharkies energy sports chews are not quite so sweet but are healthier the man ingredient is brown rice syrup which is a complex carbohydrate with low glycemic index being very brown rice syrup and agave nectar are the only two natural sweetners that do not cause a sugar crash so for this reason the stingers only get stars and sharkies get if you want sweeter in sharkies get the kids version but they are like stingers no brown rice syrup oh the brown rice version fill me up faster because they are a complex carbohydrate and do not cause blood sugar ,good substitute for candy but are healthier , not as good as the other
we do a lot of riding in the heat and longer rides as well we do not want to crash from lack of carbs in our system other energy products do not taste as good as these do they are conveniently packed in little pouches so they are easy to grab and take along when we ride good stuff ,most awesome tasting energy we have found , great product
i am a huge fan of stinger products however these little gummy gels do nothing as compared to the stinger honey packs if you are a road or mountain and need a good burst of quick energy to keep from on that last hill these will not help in fact the only benefit that i or any of my riding buddies have found is that they make your mouth water this could help with water consumption when riding through the desert it is my guess that these are not intended for exercising maybe people just use them at work to keep from eating or something less healthy ,this if you do not want to , not as good as it is
heard about these from a who said that they worked fast an avid i have used other energy gels with limited success taken about minutes before an they provide the extra boost you need the chews have a great texture and taste like gummi bear candy highly recommended ,good for , good
these taste great and it is true what other reviewers have said about the consistency being good and them not sticking in your teeth however as an energy boost for running they do not do a thing for me in fact they actually cause a so i just eat them whenever i feel i need a sugary fix ,tasty , great taste
i ordered these to use for marathon training i have a sensitive stomach but have had no problems with these they do give me energy during those long runs ,tastes great , great product
these organic energy bites are delicious and work great i use them for golf or long bike rides a few bites every half hour and you will have ample energy for hours of activity ,yummy , great snack
i am not a fan of messy gels or stopping for during a race when i do my own long runs or if i am doing a half mess and factor aside i also do not want to consume junk these are organic and contain honey and while soft squishy somehow do not get stuck to each other when in a gel pocket during a run the taste is so delicious that my son tries to them as well ,not too great for long , good for you
i tasted a few of these and they are pretty good i was expecting something a bit flavorless and i can imagine happily snacking on these for a multi day packing hike i will write more after i have taken them on the trail ,quite tasty , good but not great
tried the pink lemonade flavor today during my long run unbelievably awesome tasted great no stomach issues no sticking to my teeth water not required to wash it down and most importantly it was the best run i have had in a long time cannot wait to try other flavors ,awesome , great stuff
i start popping a package when i can feel that wall coming on these are easy to open while and give a decent boost within a relatively short period of time as always organic is a definite positive not a lot of water is needed to get these down and i have not had any heavy stomach feelings after consuming them very happy with this purchase and will get more when this case is gone ,energy , not as good as it is
i am training for my first marathon in november and these chews have kept me going during my long to mile training runs i dissolve them in water rather than carry them as chews and sip after mile they taste like concentrated hawaiian punch and do not upset my stomach whatsoever i also eat them prior to a workout if i am feeling low energy and will even snack on them in lieu of candy seriously they are that good i have tried gu as well as gels and both do the trick but are nowhere near as tasty the consistency of the chews are slightly softer than dots candy ,great for training , great product
stingers are better tasting and more convenient than gels and work just as well to provide energy when exercising over long periods of time ,best tasting energy boost , delicious
i can say that without a doubt that these make you feel like you can keep going and going it is not something that feels like you are really energetic but more like you just got a good days rest and are ready to get going i do not like feeling like i am on a sugar high with that nervous feeling in my chest and these do not do that i think they make you feel healthy and are a good addition to your diet for exercising the only drawback to me is the cost of these for bags makes it hard to justify the purchase as often as you would like to have them i will purchase again when my grocery money allows i would recommend to buy if you are looking for a healthy to keep you going all day and not just for a quick boost ,great tasting with help energy up , good but not as good as i like
these energy chews have a great flavor will give you good energy before or during a workout and are a reasonable price i would recommend this to any athlete such as a runner etc strength training and sports nutrition for ,highly recommend this product , great product
i did not want caffeine do not want the high calories went through many types of energy chews gels drinks online to see what would be the best option for myself br br i love the honey stingers no caffeine calories can be controlled depending on how many pieces you take and most importantly it lasted me through my marathon br br fruit is delicious have not tried the other flavors ,great energy tastes delicious no , not as good as it is
i use honey stinger energy chews on all my long distance bike rides i ride over miles a week and love all the different flavors ,great stuff , best ever
last fall i bought a of different protein bar brands to see which i liked the most of the many brands i tried most all were roughly the same in taste texture etc but these honey stingers stood out to me they have a much smoother texture and have a great sweetness to them that really makes them taste great i am a huge fan gonna by a bunch more boxes for snacks and ,sweet and delish , not as good as it is
yo soy y he de es el que me ha ,product , great product
when i opened the package i only found packets of the honey stingers there should have been i counted and re counted times to be sure the packets were in a thin cardboard display box wrapped in a sealed plastic bag and shipped in a sturdy cardboard box i do not really want to go through the hassle of returning the item so i guess i am out a pack it would be nice if amazon shipped me one more packet ,love these but only got of , not as good as it is
these are the most awesome little energy snack possible brought a box of these on a hunt for a week with some buddies for the first time along with a box of sharkies prior to this sharkies where our when needing a boost and energy replacement have to say even the sharkies fan in the group had to admit honey stingers fairly surpassed sharkies in both taste and performance will still probably bring both next time for variety but definitely twice as many honey stingers honey is the perfect food ,honey the perfect natural energy , not as good as i be
if you have been out to on a or as staff these are given to you in your trail meal they are organic and made of honey they good and healthy a ,mmm good , great taste
i had gotten a box of style sauce from my mother and set it aside for a day well today it i mixed the package with water added rice some peppers onion chicken and potatoes and let it simmer my entire family just loved it even my picky grandson now i want to find more ,makes a perfect soup base , best popcorn ever
the box is very impressive so i had high expectations especially when it comes to chocolate br the combination of chopped up nuts and small pieces of dark chocolate is brilliant unlike anything i have tasted before amazing flavor somewhere between velvet chocolate and crispy nuts made me feel almost relaxed br yesterday i had it for breakfast instead of granola with milk it was really good i did not crave food and i did not snack until mid afternoon i am impressed ,better than it looks , not as good as it is
summer drink out of the can that i tried served over ice mixed with soda water it was fantastic the soda water ice mixture helps cut down on the sweetness and improves on the refreshment factor br br a little more about the switch the can claims that this product is carbonated juice with no sugar added and no preservatives one can is fluid ounces and provides calories total sugars per can are g g of carbs one can provides of the daily recommended dose of vitamin c br br that being said i cannot see myself drinking the switch everyday even without preservatives and added sugars this drink still packs in a lot of sugar in every can though to be fair i rarely drink soda or sweetened carbonated beverages still for a nice alternative to the standard soda i recommend the the tangerine flavor is reminiscent of tang ,serve on the rocks , not bad but not as good as it is
for those that want a more natural soft drink this is a good option because it has no added sugars it still manages to pack calories in an oz bottle so do not drink this regularly if you are trying to lose weight the taste has good complexity but like most fruit drinks is a little too sweet for my taste i would definitely drink this instead of a typical artificial orange soda though ,good natural soda , not as good as it is
this sparkling juice drink has a decent and refreshing flavor though somewhat reminiscent of the canned orange juice can t remember the brand i had once in awhile as a kid br br it a nice idea to have a soda that has no added sugar though the juice combination is not as impressive as the name might sound this beverage contains a mix of the following juices reconstituted with sparkling water apple grape tangerine orange and acerola the beverage also includes gum acacia and soy br br despite the fact that there are no added sugars the calorie and carb counts are quite high in fact higher than an average soda an ounce can contains calories and g carbs ,nice flavor but not much to it , not as good as it is
there are no here the label promises a perfect blend between juice and carbonation and that is exactly what switch delivers a drink that tastes like carbonated orange juice those looking for a healthier alternative to soda will like that switch contains juice with no added sugar or corn syrup those looking for a tasty new carbonated beverage probably will not be impressed br br at the time of this writing amazon is not yet stocking switch so i cannot offer an opinion on whether or not i think the price is fair i would not expect to pay much more than orange juice for this drink though since there is nothing really original going on inside the can ,a healthier alternative to soda but not original , not as good as it is
tastes but i liked it okay it is not the best drink i have ever tried but it is okay for something different people will have to make their own choice as to whether to buy it or not in regard to the price br br unfortunately either the manufacturer the amazon vine people or both is there such a word if not i just invented it placed two useless stickers on the can which covered half of the nutrition facts on the can there was plenty of space to put them elsewhere but some non failed to use his or her marketing sense so all i can tell you on that is that there is a sodium content total carbs are grams and there are calories per ounce serving can br br i would not buy this product but that is because i normally drink only non sugar beverages ,and , not as good as i be
not too sweet not overly carbonated can be best described as a good orange punch mixed with and while it is all natural it is also reconstituted br br and that is the rub while tasty tangerine is the most prevalent flavor with hints of white grape and a slight finish this is basically just expensive carbonated juice can size is the same as a red bull oz versus the industry standard oz serving br br is more better not necessarily but then again sometimes less is just less at approximately per can which category the switch orange tangerine is is for you to decide ,a nice blend , a little juice
this tastes great and i like that it is more natural than most other sodas available basically it is a carbonated juice i generally prefer a larger oz size though ,quite refreshing great taste , great taste
i enjoyed the taste it is close to orange soda initially but then there is another sweet taste at the end of each sip but unlike orange soda this is healthier and no added sugars even though this product tastes like orange soda i think it would do well for breakfast it may even become preferred over traditional orange juice for children and for that worry about short shelf life on the downside the price is a little high for such a small can when buying ,pretty good , not as good as it is
i thought this would have a similar taste to another brand of carbonated juice on the market called izze that has fewer calories tastes better and costs less however switch has a weird artificial aftertaste it tastes like a blend between orange juice and orange soda but not in a good way also with calories per serving ounces and grams of sugar you might as well drink soda because this beverage it not any healthier and certainly not cheaper ,not for me , not bad
not a great value having around half again as many calories per once as coca cola does if you are some teen who can eat whatever you want this does not matter but for those of us who are not with such well the calories are better spent elsewhere the no sugar added bit is somewhere between annoying and misleading the all natural sugar that is coming from the fruit juices is no better nor worse for you than e g regular old cane sugar like better traditional soft drinks have br br so in brief yes it is quite tasty but it is really not a good deal for your nor your health unless consumed only on special occasions br br p s my wife tried some as well and did not like it as much she tasted some of the unpleasant metallic tastes that others here have mentioned ,tasty but i am not to switch , not as good as it is
while switch orange is very orangey it also tastes of something else interesting it is fizzy but not in my opinion excessively so and tasty and i would consider buying it i seldom buy or drink soft drinks or sodas i just do not care for all the fizz burning my nose switch did not do that ,very different , great taste
hubby and i both shared the and we both liked it i really liked the fact that there was no added sugar in this drink it is a nice combination of flavors i found it a little too carbonated but he thought it was just right br br i would buy it if it came in a larger can hence only stars i think this can is too small too much aluminum thrown out i everything but most people i know just toss it otherwise i would buy this drink ,not to sweet , not as good as it is
br i like br the carbonation br the flavor br all juice br no added sugar no high fructose corn syrup br no artificial flavors or colors br br i do not like br the small can oz br the flavor took a can to get used to it it is a mixture of orange apple grape and acerola juice acerola is a fruit high in vitamin c so i assume that is why it is used if you do not expect exactly orange soda the flavor grows on you quickly br br if i really want a cola switch is not good enough to be my replacement but it is a very easy replacement for an orange soda i cannot wait to try some of the other flavors i usually really like black cherry drinks and i am interested in seeing what fruit juices they use in that one ,great alternative to orange soda , great product
it is so hard to find a nice juice drink that is either too sugary or even worse has additives like artificial sweeteners the switch orange tangerine delivers on flavor if you like juice and want a full flavored orangy carbonated fizzy drink this one fits the bill very good ,a tasty enjoyable pure juice carbonated drink , not as good as it is
refreshing and light a little on the sweet side but not overly sweet i enjoyed the orange flavor ,nice drink , great taste
i am not one for canned juice drinks but this one was exceptional in flavor i am also not a big fan of orange flavored drinks but the tangerine is distinctive and nice it kind of reminded me of one of my favorite soft drinks in the world from jamaica which is made from real grapefruit juice very nice if you need more vitamin c in your life i would consider buying it ,tangerine , not as good as it is
i split this can with my i would have given it stars he gave it nice idea carbonated juice but the taste is pretty mild not really what i would call refreshing good idea though i would try it in other flavors ,just ok , great product
although some may like this drink it will not be a repeat buy for me calories for an oz serving is too much when that amount of orange juice is actually this drink is not orange tangerine juice but a mix of juices secondly if this were juice seems you would not have to add ascorbic acid to get of your daily vitamin c since that amount of orange juice naturally provides over perhaps the processing requires it but alas the biggest issue for me was taste it tasted to me like liquid smells br br on the good side the is just right and the flavor is bold for those who seek that there is no sugar added and the non traditional taste is not overly sweet the taste may appeal to some but i am not a fan ,bubble , not bad but not as good as it is
no caffeine no high fructose corn syrup juice nothing artificial what is not to like br br i hate to write anything negative because i do not want to discourage development of any products that avoid hfcs but to be honest the switch orange tangerine does not smell very good if you are familiar with cold remedy well it smells like that i think i was expecting a fragrance like tang instant beverage i certainly did not expect it to smell like it does it is not all that bad it is just not real good br br i also think this product would actually taste better if it were not carbonated br br the calories are about the same as a typical soda but they are fruit juice calories instead of hfcs so that is a big plus in my book ,gets an a for juice and no , not as good as it is
everyone at my house even my mother in law enjoyed this drink it tastes very much like a quality soda but is made with real juice small cans mean you do not consume a lot of calories at once because although this is healthier than regular soda you should not drink too much it is still a lot of sugar ,very at my house , not as good as it is
with all natural ingredients and mostly real fruit juice i am not expecting this drink to taste like soda punch or anything like that but i when i tasted it i felt myself wanting more i could really taste the orange flavor coming though but they somehow missed me on the tangerine side tangerines are very sweet so i was expecting that to be the predominant flavor but instead what i tasted was mostly orange which left a somewhat sour bitter aftertaste in my mouth this drink was not bad but given a choice i would rather drink orange juice or tangerine juice with seltzer i do not see how this drink improves beyond that switch other available flavors tasted much better so in some ways this was a disappointment ,too much orange not enough tangerine , not bad but not bad
i did not like this carbonated juice although it appears to be all juice not artificial flavors it tastes somewhat artificial perhaps it tastes more like canned orange juice which tastes nothing like real orange juice i fully expected to like this as i do like fizzy fruit juice drinks this one did not do it for me ,artificial tasting , great taste
perfect size can and a refreshing drink i think it is proof that simple is best this would be my first choice for a drink if i were out and about ,excellent choice , great taste
i like the taste of this drink in many ways it takes me back to my childhood with the orange ice i used to eat as it has a similar flavour the thing you should be aware of is that although it has no added sugar because it has so much fruit juice it does have a lot of calories i also found that the can needed to be bigger as i wanted more at the end ,nice tasting drink , not as good as it is
yeah it is gluten free and whatever but unless that is a really big issue for you and you are having trouble finding sugary drinks to enjoy on your gluten free diet there is no real draw to this drink over say orange fanta or any number of other carbonated juice type drinks i thought it was overly sweet and i have something of a sweet tooth the orange flavor was not particularly authentic or delicious and it left a sour aftertaste i got a free sample this time and i cannot see actually paying money to buy this product again on an environmental note packaging and shipping these things in tiny little cans makes for more waste and i do not appreciate that either not a fan ,too sweet too expensive too much packaging , not as good as it is
switch definitely managed to keep its carbonated juice drink intended flavor fresh though just a combination of sparkling water the juice concentrates of several fruits including apples grapes and oranges and oddly enough soy it definitely maintains its taste of tangerine br br i d love to see what other flavors switch has to offer with my only hesitation coming from natural flavors and colors but hey i am willing to them a little in that department thanks to the no high fructose corn syrup ,sweet and definitely full of tangerine goodness , great taste
it is very refreshing to find products without sugar added but make no mistake this tiny can still packs a solid grams of sugar enough to give you an energy rush followed by the typical crash perhaps you can sip just a few ounces every few hours to avoid the crash br br the flavor is very good and will tempt you to the whole can in one quick drink not exactly a health drink but it is a nice improvement over the usual junk sold as a soft drink ,flavor with , not as good as it is
nice alternative very lightly carbonated i would say if a normal carbonated drink from to on the fizzy scale this one about an br br at grams it is still a lot of sugar mostly from apple and grape juice i think i will order a case just cuz i thought it was good and i am calling it stars but honestly i would rather have it splenda or stevia sweetened ,good stuff , not as good as it is
i was surprised at the ingredient list and natural on the side because this drink tasted just like a artifical energy drink this is going to be a short review for me because i do not really have much else to say i could barely tell it was orange because as with energy drinks it just tastes like an of fruits my wife was especially confused she gets sick at the smell of drinks like monster and she had the exact same reaction here br br i know this is not an energy drink but for the life of me i just cannot the taste with the ingredients if you are the sort of person who drinks some fresh fruit juice and thinks i really wish this tasted more like a completely artifical drink instead of natural fruit juice then this is the product you have been of ,tastes like an energy drink , not bad
carbonation and the aluminum can which has been proved can lead to there is a lot of deceptive marketing going on the can claims that switch is juice but it is not actually orange and tangerine juice in fact the drink is mostly apple and grape juice you can taste this instantly along with the metallic tang of being in a can this is done because both of those juices are quite cheap in comparison to orange and tangerine so really you are getting more a a carbonated fruit punch then an orange tangerine drink br br you re also natural flavours and which kind of kills the whole juice claim br br with a taste that is both metallic and not really the flavours it claims i cannot really recommend this product you can generally buy boxed juice for less which contains more flavour no aluminum and no carbonation ,no in carbonated juice , not bad but not great
things you really do not want your children to eat or yourself the term gluten free for example is very important to those who have gluten intolerance br br kudos to the manufacturer for making a healthier product and i would have liked to have given this flavor a better review but the taste was not there for me the black cherry flavor has a lot better taste br br still if you are looking for a seemingly healthier beverage to pack in your child lunch this could be worth a try think of it as a flavored carbonated water i gave it stars because it is not unhealthy and it is not bad just not something i like the taste of br br i would sooner put this product in a child lunch than a soda my daddy used to put soda on the car to dissolve the acid ,orange tangerine carbonated fruit drink , like the soda
after taking my first sip of switch orange tangerine i raised a suspicious because it did not taste the way i expected it to then it on me that my mouth was prepared for more of a fake up orange soda but what i was tasting was real natural juice yes i knew that from the label but that is not the same as experiencing it br br the taste was a nice blend of orange and tangerine not too sweet and the carbonation adds a nice touch a bit like a non alcoholic cocktail br br my only is that the calorie count is perhaps too high for me to drink this on a regular basis though let me be quick to point out that this is a no sugar added product for those who are not counting calories a nice refreshing switch from soft drinks ,tangy and real , a great product
this drink is a nice blend of juices mostly orange and carbonated water there are no other ingredients it has a decent amount of natural sugars from the juice so it is not a low calorie drink i thought the balance of flavors and sweetness was quite nice and would definitely buy again ,carbonated juice , not bad
orange tangerine also contains soy br br compare and contrast a similar product is worth considering a href http www amazon com gp product b e izze all natural sparkling juice apple ounce cans pack of a a href http www amazon com gp product b izze all natural sparkling juice blackberry ounce cans pack of a a href http www amazon com gp product b x o c izze all natural sparkling juice clementine ounce cans pack of a a href http www amazon com gp product b izze all natural sparkling juice grapefruit ounce cans pack of a and a href http www amazon com gp product b izze all natural sparkling juice pomegranate ounce cans pack of a the difference the izze products are fortified with vitamins b and in addition to c and have roughly three the calories total carbohydrates and sugars of the switch products ,soda juice , soda
health conscious and want to drink something like a soda w o actually drinking a soda this would probably be right down your br br however i found the taste to be somewhat odd i could definitely taste the tangerine in it mixed with the orange but the combination of the two or the or something gives this switch a taste akin to eating an orange that is almost too ripe you know that kind of fermented taste of an orange that you need to eat now because by tomorrow you will need to put out for the not exactly something that i would look forward to drinking br br so for me although this was somewhat good its not exactly something i would get again i am not really a health nut so if i wanted an orange soda i would just go out and get an orange crush ,it was ok , switch to be the
soda also if you wanted something natural i would go with hansen sodas or a number of natural sodas which are definitely sodas this drink is basically juice with carbonation br br the other issue i had with this was its size does not get you far maybe and with the thickness of the drink since it is juice with quite a bit of natural sugar you do not get very much thirst quenching effect from this the juice also accounts for the strong aftertaste br br finally natural sugar is still sugar and has just as many calories this stuff would not make the cut in most school vending with its high sugar content and i would not give this to my kids instead a couple of waters juice pouches which each have about the amount of sugar would do the trick for them br br not recommended sorry ,did not like the flavor aftertaste or , great product
i am not sure what i expected maybe something thin and bubbly but switch delivers a rich full orange tangerine flavor br it got a lot more flavor and good flavor at that and a bit less carbonation than other carbonated fruit drinks br an ounce can has calories no fat mg of sodium grams of carbs grams of sugar they claim no sugar added and no protein it also contains of your daily requirement of vitamin c and of vitamin a br i tried it chilled with breakfast and thoroughly enjoyed it ,rich flavor , not as good as it is
this product is like orange juice that is fizzy it reminds me of another product izze but this product is slightly sweeter and is not as carbonated as izze i would recommend this product just make sure it is cold because it tasted alot better cold than warm ,really good , great taste
i put my orange switch in the refrigerator overnight to make it nice and cold and i had it with breakfast i love the taste of it mostly orange with a hint of carbonation it tastes sweet naturally and i am sure it is good for you i would buy this product ,tastes like orange but without the sugar corn syrup , great product
of a small tree of the west which has a high concentration of vitamin c anyway it is just good br br i experimented a little on the best way to serve i drank it cold as is then poured it over a glass of ice cubes neither of those ways seemed quite right then i poured the beverage on ice left it for a minute then removed the ice by pouring juice through a strainer this left it nice and chilled not just cold and not by melting ice br br i live in the desert where temperatures are in the summers orange juice does not quite quench my almost constant thirst but has been the best thing available to me until now yes i will definitely switch to switch forgive the pun br br it actually good for you too hope one day it will be in all ,an extremely carbonated drink , not bad
this was a weird drink i had high expectations but the flavor was just odd it really did taste like fizzy tang drink mix however my kids really liked it and i think it is a great alternative to soda so i will most likely buy more but not for me to drink ,tastes like carbonated , not as good as it is
it is a good thing the can is so small the product is several cuts below sunny delight terrible ,small can , great product
it may be all natural but it did not have a natural taste to me the can size is small and the calories were more than i thought there should be i like the mild carbonation ok but i would not switch from orange juice ,not for me , not as good as it is
i liked it br br didn t know what to expect it has a variety of fruit juices such as apple orange and grape but clearly had a strong orange taste i liked the fact there was no added sweeteners such as or sugar i am not a pop soda drinker but i think if i served this instead of the traditional orange stuff in a liter people would not notice the difference br br it a bit pricy for orange soda and i am sure orange juice would be better but if you are looking for something healthier this one for you ,fruity and not so , a great product
grape than orange surprisingly it has rda vitamin c it is all natural with no sugar added no corn syrup no preservatives no artificial colors and it is gluten free br br the flavor of the drink i tested was called orange tangerine and it was an fl oz can with calories and grams of sugar br br the only reason i did not give it five stars was that i really cannot picture myself paying for it it is rather expensive in comparison to the orange juice i buy at the grocery store and if i want an alternative to regular soda i would go with a href http www amazon com gp product b c blue jamaican ginger ale ounce pack of a now that is good however if you are looking for an orange flavored soda substitute this is your product juice how could you go wrong ,better than expected , orange orange soda
with the new of making sodas that are good for you too we have plenty to choose from in the drink switch orange tangerine has a great taste a fruity nose and is refreshing but with the same calorie content as a can of coke well i am sticking with coke had switch produced this product calorie free like a href http www amazon com gp product b d e immune tangerine lime ounce cans pack of a it would gain a greater market share with established soda drinkers while switch offers rda of vitamin c the pack on extras without padding our bodies ,if only it were diet too , a little juice
i did not read the label before i tried the drink so i was a little surprised by the carbonation it had a tangy flavor which was possibly enhanced somewhat by the carbonation however i have been a long time drinker of the tropicana orange tangerine juice and switch is simply not as good imho if i was not already a tropicana drinker i might be interested in the switch version of orange tangerine but i am not going to switch sorry for the pun ,it is ok but i prefer the version , not as good as it is
on the plus side they get the flavor and carbonation right here one a tang taste but it is more subtle than that and the bubbles are likewise enough that it is no fizzy drink br br on the downside though one would prefer a after taste to the sort of syrupy way it stays on the tongue ,a , not as good as it is
this is a very refreshing carbonated juice drink with no aftertaste i love the flavor and the fact that there is no added sugar it is more subtle than orange so really kills a thirst the size is perfect for times when you do not really want a ounce drink ,great taste not sweet , great taste
it is a refreshing drink when served cold a bit sweet when warm a little tart but so br br the flavor is less orange than tangerine yet i can several different layers of citrus in it including the orange it is an interesting sensation br br i am a little by the fact that an oz can rd size manages to pack more junk calories in than a full sized can of cola it is also supposed to be juice but reconstituted grape juice is practically pure sugar and there are natural flavors noted in the ingredients list as well as a soy warning which to me some sort of msg probably added with the citric acid br br so maybe it is not an especially healthy beverage it is still tasty and provides a from more typical sodas ,a decent if you are of , not bad but not as good as it is
bottled like an energy drink switch does not contain the things you would find in other carbonated beverages there is no sugar no caffeine no corn syrup no preservatives or artificial colors br br instead what you get is a refreshing all natural lightly carbonated tangerine orange drink loaded with vitamin c think of it as orange soda without all the things you do not want switch has just the right amount of carbonation to make the beverage refreshing without being filling br br it a zippy beverage made with real tangerine apple and grape juices and would make a refreshing beverage lunch dinner or snack time drink br br there was a slight aftertaste that i am up to either the can or the citrus but it did not get in the way of enjoying the drink br br make the switch to switch ,switch to a real energy drink , not bad but not bad
there is gum acacia in the list of ingredients not sure if it adds anything to the flavor the orange and tangerine flavors do come through the it seems to be a bit sweeter than orange juice have achieved more satisfying and natural tasting fizzy juice drink by adding sparkling water to oj ,sweet juice product , not as good as it is
i really like this drink my only complaint is that i would need to drink cans at a time oz is a bit on the side for me br br if it came in a oz can i would be much more likely to buy it and the packaging would be much less costly br br really tasty product though and i have got no with the ingredients yum ,tasty but too for me , not as good as it is
much smoother and easier to swallow than a conventional soda with carbonation that is plenty strong but not quite as strong as a can of crush br br it a drink that is subtle not only in tone but in flavor you can taste the various other fruits mixed in with the tangerine and orange but it is still very much an orange drink with no fruit punch br br it tastes perfect and there is no doubt that someone carefully went crazy saying too much not enough to every little of the drink before it was just right br br no corn syrup or other bad additives at carbs per ounce serving it is still got quite a lot of sugar in it if you are looking for an orange soda style drink that is really just carbonated juice this is the best possible product i am quite sure ,this drink is perfect and that is just that , it is not the
i enjoyed this drink it has a tangy citrus flavor which tasted a little less orangy than i expected but was still good i liked the carbonation in the juice it was about the right amount for me the drink has about the same calories as a regular soda but i feel better about drinking it because of the natural ingredients the drink does not have the syrupy feel of a traditional orange soda which is a bonus this is definitely a lighter tasting very refreshing drink the only reason for reducing the star value by one was because of the price which is a bit for me i recommend this drink ,yum carbonated fruit juice , not as good as it is
i could see it being handy for kids lunches and such slightly better than typical soda with corn syrup though i am not sure whether it would be preferable to straight up fruit juice br br personally i would rather have the fruit juice like a hansen smoothie or something granted they are a bit but some folks like carbonated beverages so why not make one out of actual fruit juices rather than all sorts of more artificial stuff br br rather liked the orange tangerine one i am interested now to try some of the other flavors and see if they are as good especially a href http www amazon com gp product b lggh kiwi berry a but possibly also a href http www amazon com gp product b lggh watermelon strawberry a or a href http www amazon com gp product b lggh c fruit punch a ,surprisingly good for a soda , a great product
base there is no added sugar no high fructose corn syrup or any other sweeteners save the apple and grape concentrates and that is fine i would prefer my juice to not have added sweeteners in my opinion juice does not need to be sweetened i suspect that the fruit concentrate combo is cheaper than making the drink out of pure citrus juice so i wonder why it is as expensive as it is br br what makes me scratch my head is the contains soy what why why on earth put soy in a fruit juice cooler honestly i would buy some seltzer or carbonated water of some sort and mix it with my own fruit juice before i would buy switch but if you would rather have it pre made then by all means give it a try it is decent enough just not my glass of juice ,decent enough but pricey , it is a
switch does not taste like carbonated juice it tastes like overly sweet orange soda which may or may not be a positive for you the ounce can contains grams of sugar i did not like the taste my husband thought it was okay br br the reason i am giving it stars instead of is because it does not have any preservatives added sugars or high fructose corn syrup it does however contain soy so if you are allergic or concerned about gmo soy then you may want to avoid this drink br br if you are looking for a natural sweet carbonated beverage i would recommend ooba hibiscus drink over this ,sweet orange soda , not as good as it is
vending machine br br for this product the first ingredient is apple juice and the second is grape juice then comes the tangerine and orange juice and finally acerola juice a fruit high in vitamin c and apparently popular in puerto rico and there is acacia gum as a probably do not want to have to shake a carbonated drink and then additional natural colors and flavors ascorbic acid and soy br br my yo daughter and i shared a can and liked the taste on a par with orangina my personal preference would be for a little more carbonation but this was ok i am a so i definitely prefer a oz can the quantity at this price makes me feel a little ripped but then i prefer to make my own lemonade in the blender adding in some raspberries or strawberries or mint to vary the flavor cheers ,a tasty carbonated fruit juice soda , a great product
if you are looking for a healthy alternative to your favorite orange soda this might be a good choice for you br br this is one of the better tasting switch flavors although it still tastes a bit like a flat orange or slice drink it is good but there is a bit of an aftertaste to watch out for it does not give you that weird filled up feeling that carbonated beverages seem to have but if you are looking for some refreshment on a hot summer day degrees where i live as i write this i would stick to tried and true kool aid instead br br decent and a good orange soda alternative but not life changing ,kind of like or , not as good as it is
no sugar added br no preservatives br juice carbonated br all natural br br but it tastes just like soda br br if you are a soda lovers but want a healthier alternative this may be just the ticket it is an especially great product for kids because they really think they are getting soda but without all the added sugars ,switch to the switch , not as good as it is
my daughter thinks this tastes like sunkist orange soda my grandson likes it and drank the rest of it most of the can i thought it was okay by i am not a fan of orange sodas i would undoubtedly like it better in another flavor like grape or fruit punch or kiwi berry br i think this is of course a much healthier alternative to any regular soda and judging from my and my grandson experience with it it would be hit with most kids ,good alternative to regular orange soda , great taste
switch is a tangy drink that is more reminiscent of sprite than orange juice it is carbonated all the way and you will even after it as you would have after consuming any soft drink the drink does not feel sugary but a quick glance at the nutritional facts that each can contains grams of sugar the claim on the can is that there are no additional sugars added so i am assuming that is the sugar from the orange and tangerine the can ,with vitamin c , a little juice
in proportion this drink is about equal to a regular soda in calories and sugar content but i would prefer a regular soda than this stuff there is a slight citrus taste but mainly from acidity and a horrible after taste of metal and sickly sweetness that lingers for several minutes after br br soda water with natural juice should be a refreshing pleasant and nice refreshment but none of these are in this drink br br i would be embarrassed to serve this beverage to anyone i liked for any occasion but would consider giving it to people i really did not care for to see their reaction br br avoid this one orange crush or a different orange soda diluted with soda water would taste far better or soda water and regular orange juice would also be a treat that puts this nasty stuff to shame ,sweet bad aftertaste , not the best
our family wife year old and year old have had other switch sodas in the past and liked them quite a bit they had a bit of an apple flavor the main that is definitely not true for the orange tangerine it tastes almost like fresh squeezed orange juice with bubbles far better than orangina or orange soda br br my kids kept asking for more sips of the soda throughout dinner and we all have enjoyed it i appreciate that there is no caffeine and it is all natural so i have no problem giving it to my kids i would definitely recommend buying the soda we will keep some around the house regularly ,great orange soda without too sweet , a great product
